14D,1414 DEGREES LIMITED
BML,BOAB METALS LIMITED
BMM,BAYAN MINING AND MINERALS LIMITED
BMN,BANNERMAN ENERGY LTD
BMO,BASTION MINERALS LIMITED
BMR,BALLYMORE RESOURCES LIMITED
BMT,BEAMTREE HOLDINGS LIMITED
BNL,BLUE STAR HELIUM LIMITED
BNR,BULLETIN RESOURCES LIMITED
BNZ,BENZ MINING CORP.
BOA,BOA RESOURCES LTD
BOC,BOUGAINVILLE COPPER LIMITED
BOD,BOD SCIENCE LIMITED
BOE,BOSS ENERGY LTD
BOL,BOOM LOGISTICS LIMITED
BOQ,BANK OF QUEENSLAND LIMITED.
BOT,BOTANIX PHARMACEUTICALS LTD
BP8,BPH GLOBAL LTD
BPH,BPH ENERGY LTD
BPM,BPM MINERALS LIMITED
BPP,BABYLON PUMP & POWER LIMITED
BPT,BEACH ENERGY LIMITED
BRE,BRAZILIAN RARE EARTHS LIMITED
BRG,BREVILLE GROUP LIMITED
BRI,BIG RIVER INDUSTRIES LIMITED
BRK,BROOKSIDE ENERGY LIMITED
BRL,BATHURST RESOURCES LIMITED.
BRN,BRAINCHIP HOLDINGS LTD
BRU,BURU ENERGY LIMITED
BRX,BELARAROX LIMITED
BSA,BSA LIMITED
BSL,BLUESCOPE STEEL LIMITED
BSN,BASIN ENERGY LIMITED
BSX,BLACKSTONE MINERALS LIMITED
BTC,BTC HEALTH LTD
BTE,BOTALA ENERGY LTD
BTI,BAILADOR TECHNOLOGY INVESTMENTS LIMITED
BTM,BREAKTHROUGH MINERALS LIMITED
BTN,BUTN LIMITED
BTR,BRIGHTSTAR RESOURCES LIMITED
BUB,BUBS AUSTRALIA LIMITED
BUR,BURLEY MINERALS LTD
BUS,BUBALUS RESOURCES LIMITED
BUX,BUXTON RESOURCES LIMITED
BUY,BOUNTY OIL & GAS NL
BVR,BELLAVISTA RESOURCES LTD
BVS,BRAVURA SOLUTIONS LIMITED.
BWF,BLACKWALL LIMITED
BWN,BHAGWAN MARINE LIMITED
BWP,BWP TRUST
BXB,BRAMBLES LIMITED
BXN,BIOXYNE LIMITED
BYH,BRYAH RESOURCES LIMITED
C1X,COSMOS EXPLORATION LIMITED
C29,C29 METALS LIMITED
C79,CHRYSOS CORPORATION LIMITED
C7A,CLARA RESOURCES AUSTRALIA LTD
CAA,CAPRAL LIMITED
CAE,CANNINDAH RESOURCES LIMITED
CAF,CENTREPOINT ALLIANCE LIMITED
CAM,CLIME CAPITAL LIMITED
CAN,CANN GROUP LIMITED
CAQ,CAQ HOLDINGS LIMITED
CAR,CAR GROUP LIMITED
CAT,CATAPULT GROUP INTERNATIONAL LTD
CAV,CARNAVALE RESOURCES LIMITED
CAY,CANYON RESOURCES LIMITED
CAZ,CAZALY RESOURCES LIMITED
CBA,COMMONWEALTH BANK OF AUSTRALIA.
CBE,COBRE LIMITED
CBH,COOLABAH METALS LIMITED
