14D,1414 DEGREES LIMITED
FBU,FLETCHER BUILDING LIMITED
FCG,FREEDOM CARE GROUP HOLDINGS LIMITED
FCL,FINEOS CORPORATION HOLDINGS PLC
FCT,FIRSTWAVE CLOUD TECHNOLOGY LIMITED
FDR,FINDER ENERGY HOLDINGS LIMITED
FDV,FRONTIER DIGITAL VENTURES LIMITED
FEG,FAR EAST GOLD LTD
FEX,FENIX RESOURCES LTD
FFG,FATFISH GROUP LIMITED
FFI,FFI HOLDINGS LIMITED
FFM,FIREFLY METALS LTD
FG1,FLYNN GOLD LIMITED
FGG,FUTURE GENERATION GLOBAL LIMITED
FGH,FORESTA GROUP HOLDINGS LIMITED
FGR,FIRST GRAPHENE LIMITED
FGX,FUTURE GENERATION AUSTRALIA LIMITED
FHE,FRONTIER ENERGY LIMITED
FHS,FREEHILL MINING LIMITED.
FID,FIDUCIAN GROUP LIMITED
FIN,FIN RESOURCES LIMITED
FL1,FIRST LITHIUM LIMITED
FLC,FLUENCE CORPORATION LIMITED
FLG,FLAGSHIP MINERALS LIMITED
FLN,FREELANCER LIMITED
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED
FLX,FELIX GROUP HOLDINGS LTD
FME,FUTURE METALS NL
FMG,FORTESCUE LTD
FML,FOCUS MINERALS LTD
FMR,FMR RESOURCES LIMITED
FND,FINDI LIMITED
FNR,FAR NORTHERN RESOURCES LIMITED
FNX,FINEXIA FINANCIAL GROUP LIMITED
FOS,FOS CAPITAL LTD
FPC,FAT PROPHETS GLOBAL CONTRARIAN FUND LTD
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED
FPR,FLEETPARTNERS GROUP LIMITED
FRB,FIREBIRD METALS LIMITED
FRE,FIREBRICK PHARMA LIMITED
FRI,FINBAR GROUP LIMITED
FRM,FARM PRIDE FOODS LIMITED
FRS,FORRESTANIA RESOURCES LIMITED
FRW,FREIGHTWAYS GROUP LIMITED
FRX,FLEXIROAM LIMITED
FSA,FSA GROUP LIMITED
FSG,FIELD SOLUTIONS HOLDINGS LIMITED
FSI,FLAGSHIP INVESTMENTS LIMITED
FTC,FINTECH CHAIN LIMITED
FTL,FIRETAIL RESOURCES LIMITED
FUL,FULCRUM LITHIUM LTD
FWD,FLEETWOOD LIMITED
FXG,FELIX GOLD LIMITED
FZR,FITZROY RIVER CORPORATION LTD
G11,G11 RESOURCES LIMITED
G50,G50 CORP LIMITED
G6M,GROUP 6 METALS LIMITED
G88,GOLDEN MILE RESOURCES LTD
GAL,GALILEO MINING LTD
GAP,GALE PACIFIC LIMITED
GAS,STATE GAS LIMITED
GBE,GLOBE METALS & MINING LIMITED
GBR,GREAT BOULDER RESOURCES LIMITED
GBZ,GBM RESOURCES LIMITED
GC1,GLENNON SMALL COMPANIES LIMITED
GCI,GRYPHON CAPITAL INCOME TRUST
GCM,GREEN CRITICAL MINERALS LIMITED
GCR,GOLDEN CROSS RESOURCES LTD
GDC,GLOBAL DATA CENTRE GROUP
GDF,GARDA PROPERTY GROUP
GDG,GENERATION DEVELOPMENT GROUP LIMITED
GDI,GDI PROPERTY GROUP
GDM,GREAT DIVIDE MINING LTD
GED,GOLDEN DEEPS LIMITED.
GEM,G8 EDUCATION LIMITED
GEN,GENMIN LIMITED
GES,GENESIS RESOURCES LIMITED
GFL,GLOBAL MASTERS FUND LIMITED
GG8,GORILLA GOLD MINES LTD
GGE,GRAND GULF ENERGY LIMITED
GGX,GAS2GRID LIMITED
GHM,GOLDEN HORSE MINERALS LIMITED
GHY,GOLD HYDROGEN LIMITED
GIB,GIBB RIVER DIAMONDS LIMITED
GL1,GLOBAL LITHIUM RESOURCES LIMITED
GLA,GLADIATOR RESOURCES LIMITED
GLB,GLOBE INTERNATIONAL LIMITED
GLE,GLG CORP LTD
GLH,GLOBAL HEALTH LIMITED
GLL,GALILEE ENERGY LIMITED
GLN,GALAN LITHIUM LIMITED
GMD,GENESIS MINERALS LIMITED
GMG,GOODMAN GROUP
GML,GATEWAY MINING LIMITED
GMN,GOLD MOUNTAIN LIMITED
GNC,GRAINCORP LIMITED
GNE,GENESIS ENERGY LIMITED
GNG,GR ENGINEERING SERVICES LIMITED
GNM,GREAT NORTHERN MINERALS LIMITED
GNP,GENUSPLUS GROUP LTD
GOR,GOLD ROAD RESOURCES LIMITED
GOW,GOWING BROS LIMITED
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA
GPR,GEOPACIFIC RESOURCES LTD
GPT,GPT GROUP
GQG,GQG PARTNERS INC.
GR8,GREAT DIRT RESOURCES LTD
GRE,GREENTECH METALS LIMITED
GRL,GODOLPHIN RESOURCES LIMITED
GRR,GRANGE RESOURCES LIMITED.
GRV,GREENVALE ENERGY LTD
GRX,GREENX METALS LIMITED
GSM,GOLDEN STATE MINING LIMITED
GSN,GREAT SOUTHERN MINING LIMITED
GSS,GENETIC SIGNATURES LIMITED
GT1,GREEN TECHNOLOGY METALS LIMITED
GT3,GREEN360 TECHNOLOGIES LIMITED
GTE,GREAT WESTERN EXPLORATION LIMITED.
GTG,GENETIC TECHNOLOGIES LIMITED
GTH,GATHID LTD
GTI,GRATIFII LIMITED
GTK,GENTRACK GROUP LIMITED
GTN,GTN LIMITED
GTR,GTI ENERGY LTD
GUE,GLOBAL URANIUM AND ENRICHMENT LTD
GUL,GULLEWA LIMITED
GUM,GUMTREE AUSTRALIA MARKETS LIMITED
GVF,STAUDE CAPITAL GLOBAL VALUE FUND LIMITED
GW1,GREENWING RESOURCES LTD
GWA,GWA GROUP LIMITED.
GWR,GWR GROUP LIMITED
GYG,GUZMAN Y GOMEZ LIMITED
H2G,GREENHY2 LIMITED
HAL,HALO TECHNOLOGIES HOLDINGS LTD
HAR,HARANGA RESOURCES LIMITED.
HAS,HASTINGS TECHNOLOGY METALS LTD
HAV,HAVILAH RESOURCES LIMITED
HAW,HAWTHORN RESOURCES LIMITED
HCD,HYDROCARBON DYNAMICS LIMITED
HCF,H&G HIGH CONVICTION LIMITED
HCH,HOT CHILI LIMITED
HCL,HIGHCOM LIMITED
HCT,HOLISTA COLLTECH LIMITED
HCW,HEALTHCO HEALTHCARE AND WELLNESS REIT
HDN,HOMECO DAILY NEEDS REIT
HE8,HELIOS ENERGY LTD
HFR,HIGHFIELD RESOURCES LIMITED
HFY,HUBIFY LIMITED
HGH,HEARTLAND GROUP HOLDINGS LIMITED
HGL,HUDSON INVESTMENT GROUP LIMITED
HGO,HILLGROVE RESOURCES LIMITED
HHR,HARTSHEAD RESOURCES NL
HIO,HAWSONS IRON LTD
HIQ,HITIQ LIMITED
HIT,HITECH GROUP AUSTRALIA LIMITED
HLI,HELIA GROUP LIMITED
HLO,HELLOWORLD TRAVEL LIMITED
HLS,HEALIUS LIMITED
HLX,HELIX RESOURCES LIMITED
HM1,HEARTS AND MINDS INVESTMENTS LIMITED
HMC,HMC CAPITAL LIMITED
HMD,HERAMED LIMITED
HMG,HAMELIN GOLD LIMITED
HMI,HIREMII LIMITED
HMX,HAMMER METALS LIMITED
HMY,HARMONEY CORP LIMITED
HNG,HANCOCK & GORE LTD
HOR,HORSESHOE METALS LIMITED
HPC,THE HYDRATION PHARMACEUTICALS COMPANY LIMITED
HPG,HIPAGES GROUP HOLDINGS LTD
HPP,HEALTH AND PLANT PROTEIN GROUP LIMITED
HPR,HIGH PEAK ROYALTIES LIMITED
HRE,HEAVY RARE EARTHS LIMITED
HRN,HORIZON GOLD LIMITED
HRZ,HORIZON MINERALS LIMITED
HSN,HANSEN TECHNOLOGIES LIMITED
HT8,HARRIS TECHNOLOGY GROUP LIMITED
HTA,HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED
HTG,HARVEST TECHNOLOGY GROUP LTD
HTM,HIGH-TECH METALS LTD
HUB,HUB24 LIMITED
HUM,HUMM GROUP LIMITED
HVN,HARVEY NORMAN HOLDINGS LIMITED
HVY,HEAVY MINERALS LIMITED
HWK,HAWK RESOURCES LIMITED.
HXL,HEXIMA LIMITED.
HYD,HYDRIX LIMITED
HYT,HYTERRA LTD
HZN,HORIZON OIL LIMITED
HZR,HAZER GROUP LIMITED
I88,INFINI RESOURCES LIMITED
IAG,INSURANCE AUSTRALIA GROUP LIMITED
IAM,INCOME ASSET MANAGEMENT GROUP LIMITED.
IBC,IRONBARK CAPITAL LIMITED
IBX,IMAGION BIOSYSTEMS LIMITED
ICE,ICETANA LIMITED
ICG,INCA MINERALS LIMITED
ICI,ICANDY INTERACTIVE LIMITED
ICL,ICENI GOLD LIMITED
ICN,ICON ENERGY LIMITED
ICR,INTELICARE HOLDINGS LIMITED
ICU,INVESTOR CENTRE LIMITED
ID8,IDENTITII LIMITED
IDA,INDIANA RESOURCES LIMITED
IDT,IDT AUSTRALIA LIMITED
IDX,INTEGRAL DIAGNOSTICS LIMITED
IEL,IDP EDUCATION LIMITED
IEQ,INTERNATIONAL EQUITIES CORPORATION LIMITED.
IFG,INFOCUS GROUP HOLDINGS LIMITED
IFL,INSIGNIA FINANCIAL LTD
IFM,INFOMEDIA LTD
IFT,INFRATIL LIMITED.
IG6,INTERNATIONAL GRAPHITE LIMITED
IGL,IVE GROUP LIMITED
IGN,IGNITE LIMITED
IGO,IGO LIMITED
IIQ,INOVIQ LTD
IKE,IKEGPS GROUP LIMITED
ILA,ISLAND PHARMACEUTICALS LIMITED
ILT,ILTANI RESOURCES LIMITED.
ILU,ILUKA RESOURCES LIMITED
IMA,IMAGE RESOURCES NL
IMB,INTELLIGENT MONITORING GROUP LIMITED
IMC,IMMURON LIMITED
IMD,IMDEX LIMITED
IME,IMEXHS LIMITED
IMI,INFINITY MINING LIMITED
IMM,IMMUTEP LIMITED
IMR,IMRICOR MEDICAL SYSTEMS INC.
IMU,IMUGENE LIMITED
INA,INGENIA COMMUNITIES GROUP
IND,INDUSTRIAL MINERALS LTD
INF,INFINITY LITHIUM CORPORATION LIMITED
ING,INGHAMS GROUP LIMITED
INR,IONEER LTD
INV,INVESTSMART GROUP LIMITED
IOD,IODM LIMITED
ION,IONDRIVE LIMITED
IPB,IPB PETROLEUM LIMITED
IPC,IMPERIAL PACIFIC LIMITED
IPD,IMPEDIMED LIMITED
IPG,IPD GROUP LTD
IPH,IPH LIMITED
IPT,IMPACT MINERALS LIMITED
IPX,IPERIONX LIMITED
IR1,IRIS METALS LIMITED
IRD,IRON ROAD LIMITED
IRE,IRESS LIMITED
IRI,INTEGRATED RESEARCH LIMITED
IRX,INHALERX LIMITED
IS3,I SYNERGY GROUP LIMITED
ITM,ITECH MINERALS LTD
IVG,INVERT GRAPHITE LIMITED
IVR,INVESTIGATOR RESOURCES LTD
IVT,INVENTIS LIMITED
IVX,INVION LIMITED
IVZ,INVICTUS ENERGY LTD
IXC,INVEX THERAPEUTICS LTD
IXR,IONIC RARE EARTHS LIMITED
JAL,JAMESON RESOURCES LIMITED
JAN,JANISON EDUCATION GROUP LIMITED
JAT,JATCORP LIMITED
JAV,JAVELIN MINERALS LIMITED
JAY,JAYRIDE GROUP LIMITED
JBH,JB HI-FI LIMITED
JBY,JAMES BAY MINERALS LIMITED
JCS,JCURVE SOLUTIONS LTD
JDO,JUDO CAPITAL HOLDINGS LIMITED
JGH,JADE GAS HOLDINGS LIMITED
JHX,JAMES HARDIE INDUSTRIES PLC
JIN,JUMBO INTERACTIVE LIMITED
JLG,JOHNS LYNG GROUP LIMITED
JLL,JINDALEE LITHIUM LIMITED
JMS,JUPITER MINES LIMITED.
JNO,JUNO MINERALS LIMITED
JNS,JANUS ELECTRIC HOLDINGS LIMITED
JPR,JUPITER ENERGY LIMITED
JRV,JERVOIS GLOBAL LIMITED
JYC,JOYCE CORPORATION LTD
KAI,KAIROS MINERALS LIMITED
KAL,KALGOORLIE GOLD MINING LIMITED
KAM,K2 ASSET MANAGEMENT HOLDINGS LTD
KAR,KAROON ENERGY LTD
KAT,KATANA CAPITAL LIMITED
KAU,KAISER REEF LIMITED
KBC,KEYBRIDGE CAPITAL LIMITED
KCC,KINCORA COPPER LIMITED
KCN,KINGSGATE CONSOLIDATED LIMITED.
KEY,KEY PETROLEUM LIMITED
KFM,KINGFISHER MINING LTD
KGD,KULA GOLD LIMITED
KGL,KGL RESOURCES LIMITED
KGN,KOGAN.COM LTD
KKC,KKR CREDIT INCOME FUND
KKO,KINETIKO ENERGY LTD
KLI,KILLI RESOURCES LIMITED
KLL,KALIUM LAKES LIMITED
KLR,KAILI RESOURCES LIMITED
KLS,KELSIAN GROUP LIMITED
KM1,KALI METALS LIMITED
KMD,KMD BRANDS LIMITED
KME,KIP MCGRATH EDUCATION CENTRES LIMITED
KNB,KOONENBERRY GOLD LIMITED
KNG,KINGSLAND MINERALS LTD
KNI,KUNIKO LIMITED
KNM,KNEOMEDIA LIMITED
KNO,KNOSYS LIMITED
KOB,KOBA RESOURCES LIMITED
KOR,KORAB RESOURCES LIMITED
KOV,KORVEST LTD
KP2,KORE POTASH PLC
KPG,KELLY PARTNERS GROUP HOLDINGS LIMITED
KPO,KALINA POWER LIMITED
KRM,KINGSROSE MINING LIMITED
KRR,KING RIVER RESOURCES LIMITED
KSC,K & S CORPORATION LIMITED
KSL,KINA SECURITIES LIMITED
KSN,KINGSTON RESOURCES LIMITED
KTA,KRAKATOA RESOURCES LIMITED
KYP,KINATICO LTD
KZR,KALAMAZOO RESOURCES LIMITED
L1M,LIGHTNING MINERALS LTD
LAM,LARAMIDE RESOURCES LTD
LAT,LATITUDE 66 LIMITED
LAU,LINDSAY AUSTRALIA LIMITED
LBL,LASERBOND LIMITED
LCE,LONDON CITY EQUITIES LIMITED
LCL,LCL RESOURCES LIMITED
LCY,LEGACY IRON ORE LIMITED
LDR,LODE RESOURCES LTD
LDX,LUMOS DIAGNOSTICS HOLDINGS LIMITED
LEG,LEGEND MINING LIMITED
LEL,LITHIUM ENERGY LIMITED
LEX,LEFROY EXPLORATION LIMITED
LFG,LIBERTY FINANCIAL GROUP
LFS,LATITUDE GROUP HOLDINGS LIMITED
LGI,LGI LIMITED
LGL,LYNCH GROUP HOLDINGS LIMITED
LGM,LEGACY MINERALS HOLDINGS LIMITED
LGP,LITTLE GREEN PHARMA LTD
LHM,LAND & HOMES GROUP LIMITED
LIC,LIFESTYLE COMMUNITIES LIMITED
LIN,LINDIAN RESOURCES LIMITED
LIO,LION ENERGY LIMITED
LIS,LI-S ENERGY LIMITED
LIT,LIVIUM LTD
LKE,LAKE RESOURCES N.L.
LKO,LAKES BLUE ENERGY NL
LKY,LOCKSLEY RESOURCES LIMITED
LLC,LENDLEASE GROUP
LLL,LEO LITHIUM LIMITED
LLM,LOYAL METALS LTD
LM1,LEEUWIN METALS LTD
LM8,LUNNON METALS LIMITED
LMG,LATROBE MAGNESIUM LIMITED
LML,LINCOLN MINERALS LIMITED
LMS,LITCHFIELD MINERALS LIMITED
LNR,LANTHANEIN RESOURCES LTD
LNU,LINIUS TECHNOLOGIES LIMITED
LNW,LIGHT & WONDER INC.
LOC,LOCATE TECHNOLOGIES LIMITED
LOM,LUCAPA DIAMOND COMPANY LIMITED
LOT,LOTUS RESOURCES LIMITED
LOV,LOVISA HOLDINGS LIMITED
LPD,LEPIDICO LTD
LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED
LPM,LITHIUM PLUS MINERALS LTD.
LRD,LORD RESOURCES LIMITED
LRK,LARK DISTILLING CO. LTD
LRT,LOWELL RESOURCES FUND
LRV,LARVOTTO RESOURCES LIMITED
LSA,LACHLAN STAR LIMITED
LSF,L1 LONG SHORT FUND LIMITED
LSR,LODESTAR MINERALS LIMITED
LSX,LION SELECTION GROUP LIMITED.
LTP,LTR PHARMA LIMITED
LTR,LIONTOWN RESOURCES LIMITED
LU7,LITHIUM UNIVERSE LIMITED
LVE,LOVE GROUP GLOBAL LTD
LYC,LYNAS RARE EARTHS LIMITED
LYK,LYKOS METALS LIMITED
LYL,LYCOPODIUM LIMITED
M24,MAMBA EXPLORATION LIMITED
M2M,MT MALCOLM MINES NL
M2R,MIRAMAR RESOURCES LIMITED
M3M,M3 MINING LIMITED
M4M,MACRO METALS LIMITED
M7T,MACH7 TECHNOLOGIES LIMITED
MA1,MA CREDIT INCOME TRUST
MAC,MAC COPPER LIMITED
MAD,MADER GROUP LIMITED
MAF,MA FINANCIAL GROUP LIMITED
MAG,MAGMATIC RESOURCES LIMITED
MAH,MACMAHON HOLDINGS LIMITED
MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED
MAN,MANDRAKE RESOURCES LIMITED
MAP,MICROBA LIFE SCIENCES LIMITED
MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED
MAT,MATSA RESOURCES LIMITED
MAU,MAGNETIC RESOURCES NL
MAUCA,MAGNETIC RESOURCES NL
MAY,MELBANA ENERGY LIMITED
MBH,MAGGIE BEER HOLDINGS LTD
MBK,METAL BANK LIMITED
MBX,MY FOODIE BOX LIMITED
MC2,MARIMACA COPPER CORP.
MCA,MURRAY COD AUSTRALIA LIMITED
MCE,MATRIX COMPOSITES & ENGINEERING LIMITED
MCM,MC MINING LIMITED
MCO,MYECO GROUP LTD
MCP,MCPHERSON'S LIMITED
MCY,MERCURY NZ LIMITED
MDI,MIDDLE ISLAND RESOURCES LIMITED
MDR,MEDADVISOR LIMITED
MDX,MINDAX LIMITED
MEC,MORPHIC ETHICAL EQUITIES FUND LIMITED
MEG,MEGADO MINERALS LTD
MEI,METEORIC RESOURCES NL
MEK,MEEKA METALS LIMITED
MEL,METGASCO LTD
MEM,MEMPHASYS LIMITED.
MEU,MARMOTA LIMITED
MEZ,MERIDIAN ENERGY LIMITED
MFD,MAYFIELD CHILDCARE LIMITED
MFF,MFF CAPITAL INVESTMENTS LIMITED
MFG,MAGELLAN FINANCIAL GROUP LIMITED
MGA,METALSGROVE MINING LTD
MGH,MAAS GROUP HOLDINGS LIMITED
MGL,MAGONTEC LIMITED
MGR,MIRVAC GROUP
MGT,MAGNETITE MINES LIMITED.
MGU,MAGNUM MINING AND EXPLORATION LIMITED
MGX,MOUNT GIBSON IRON LIMITED
MHC,MANHATTAN CORPORATION LIMITED
MHI,MERCHANT HOUSE INTERNATIONAL LIMITED
MHJ,MICHAEL HILL INTERNATIONAL LIMITED
MHK,METAL HAWK LIMITED.
MHM,MOUNT HOPE MINING LIMITED
MI6,MINERALS 260 LIMITED
MIN,MINERAL RESOURCES LIMITED
MIO,MACARTHUR MINERALS LIMITED
MIR,MIRRABOOKA INVESTMENTS LIMITED
MIRN,MIRRABOOKA INVESTMENTS LIMITED
MKL,MIGHTY KINGDOM LIMITED
MKR,MANUKA RESOURCES LTD.
MLG,MLG OZ LIMITED
MLS,METALS AUSTRALIA LTD
MLX,METALS X LIMITED
MM1,MIDAS MINERALS LTD
MM8,MEDALLION METALS LIMITED.
MMA,MARONAN METALS LIMITED
MME,MONEYME LIMITED
MMI,METRO MINING LIMITED
MML,MCLAREN MINERALS LIMITED
MMR,MEC RESOURCES LIMITED
MMS,MCMILLAN SHAKESPEARE LIMITED
MNB,MINBOS RESOURCES LIMITED
MNC,MERINO & CO. LIMITED
MND,MONADELPHOUS GROUP LIMITED
MNS,MAGNIS ENERGY TECHNOLOGIES LTD
MOH,MOHO RESOURCES LIMITED
MOM,MOAB MINERALS LIMITED
MOT,METRICS INCOME OPPORTUNITIES TRUST
MOV,MOVE LOGISTICS GROUP LIMITED
MOZ,MOSAIC BRANDS LIMITED
MP1,MEGAPORT LIMITED
MPA,MAD PAWS HOLDINGS LIMITED
MPK,MANY PEAKS MINERALS LTD
MPL,MEDIBANK PRIVATE LIMITED
MPP,METRO PERFORMANCE GLASS LIMITED
MPR,MPOWER GROUP LIMITED
MPW,METAL POWDER WORKS LIMITED
MPX,MUSTERA PROPERTY GROUP LIMITED
MQG,MACQUARIE GROUP LIMITED
MQR,MARQUEE RESOURCES LIMITED
MRC,MINERAL COMMODITIES LTD
MRD,MOUNT RIDLEY MINES LIMITED
MRE,METRICS REAL ESTATE MULTI-STRATEGY FUND
MRI,MY REWARDS INTERNATIONAL LIMITED
MRL,MAYUR RESOURCES LIMITED
MRQ,MRG METALS LIMITED
MRR,MINREX RESOURCES LIMITED
MRZ,MONT ROYAL RESOURCES LIMITED
MSB,MESOBLAST LIMITED
MSG,MCS SERVICES LIMITED
MSI,MULTISTACK INTERNATIONAL LIMITED
MSV,MITCHELL SERVICES LIMITED
MTB,MOUNT BURGESS MINING NL
MTC,METALSTECH LIMITED
MTH,MITHRIL SILVER AND GOLD LIMITED
MTL,MANTLE MINERALS LIMITED
MTM,MTM CRITICAL METALS LIMITED
MTO,MOTORCYCLE HOLDINGS LIMITED
MTS,METCASH LIMITED
MVF,MONASH IVF GROUP LIMITED
MVL,MARVEL GOLD LIMITED
MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED
MX1,MICRO-X LIMITED
MXI,MAXIPARTS LIMITED
MXO,MOTIO LTD
MXT,METRICS MASTER INCOME TRUST
MYE,MASTERMYNE GROUP LIMITED
MYG,MAYFIELD GROUP HOLDINGS LIMITED
MYR,MYER HOLDINGS LIMITED
MYS,MYSTATE LIMITED
MYX,MAYNE PHARMA GROUP LIMITED
N1H,N1 HOLDINGS LIMITED
NAB,NATIONAL AUSTRALIA BANK LIMITED
NAC,NAOS EX-50 OPPORTUNITIES COMPANY LIMITED
NAE,NEW AGE EXPLORATION LIMITED
NAG,NAGAMBIE RESOURCES LIMITED
NAN,NANOSONICS LIMITED
NC1,NICO RESOURCES LIMITED
NC6,NANOLLOSE LIMITED
NCC,NAOS EMERGING OPPORTUNITIES COMPANY LIMITED
NCK,NICK SCALI LIMITED
NDO,NIDO EDUCATION LIMITED
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED
NEM,NEWMONT CORPORATION
NES,NELSON RESOURCES LIMITED.
NET,NETLINKZ LIMITED
NEU,NEUREN PHARMACEUTICALS LIMITED
NFL,NORFOLK METALS LIMITED
NFM,NEW FRONTIER MINERALS LIMITED
NGE,NGE CAPITAL LIMITED
NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED
NGS,NUTRITIONAL GROWTH SOLUTIONS LTD
NGX,NGX LIMITED
NGY,NUENERGY GAS LIMITED
NH3,NH3 CLEAN ENERGY LIMITED
NHC,NEW HOPE CORPORATION LIMITED
NHE,NOBLE HELIUM LIMITED
NHF,NIB HOLDINGS LIMITED
NIC,NICKEL INDUSTRIES LIMITED
NIM,NIMY RESOURCES LIMITED
NME,NEX METALS EXPLORATION LIMITED
NMG,NEW MURCHISON GOLD LIMITED
NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED
NMT,NEOMETALS LTD
NNG,NEXION GROUP LTD
NNL,NORDIC RESOURCES LTD
NOL,NOBLEOAK LIFE LIMITED
NOR,NORWOOD SYSTEMS LIMITED
NOU,NOUMI LIMITED
NOV,NOVATTI GROUP LIMITED
NOX,NOXOPHARM LIMITED
NPM,NEWPEAK METALS LIMITED
NRX,NORONEX LIMITED
NRZ,NEURIZER LTD
NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD
NSC,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED
NSM,NORTH STAWELL MINERALS LTD
NSR,NATIONAL STORAGE REIT
NST,NORTHERN STAR RESOURCES LTD
NSX,NSX LIMITED
NTD,NTAW HOLDINGS LIMITED
NTI,NEUROTECH INTERNATIONAL LIMITED
NTM,NT MINERALS LIMITED
NTU,NORTHERN MINERALS LIMITED
NUC,NUCHEV LIMITED
NUF,NUFARM LIMITED
NUZ,NEURIZON THERAPEUTICS LIMITED
NVA,NOVA MINERALS LIMITED
NVO,NOVO RESOURCES CORP.
NVQ,NOVIQTECH LIMITED
NVU,NANOVEU LIMITED
NVX,NOVONIX LIMITED
NWC,NEW WORLD RESOURCES LIMITED
NWF,NEWFIELD RESOURCES LIMITED
NWH,NRW HOLDINGS LIMITED
NWL,NETWEALTH GROUP LIMITED
NWM,NORWEST MINERALS LIMITED
NWS,NEWS CORPORATION..
NWSLV,NEWS CORPORATION..
NXD,NEXTED GROUP LIMITED
NXG,NEXGEN ENERGY (CANADA) LTD
NXL,NUIX LIMITED
NXM,NEXUS MINERALS LIMITED
NXS,NEXT SCIENCE LIMITED
NXT,NEXTDC LIMITED
NYM,NARRYER METALS LIMITED
NYR,NYRADA INC.
NZK,NEW ZEALAND KING SALMON INVESTMENTS LIMITED
NZM,NZME LIMITED
NZS,NEW ZEALAND COASTAL SEAFOODS LIMITED
OAK,OAKRIDGE INTERNATIONAL LIMITED
OB1,ORBMINCO LIMITED
OBL,OMNI BRIDGEWAY LIMITED
OBM,ORA BANDA MINING LTD
OCA,OCEANIA HEALTHCARE LIMITED
OCC,ORTHOCELL LIMITED
OCL,OBJECTIVE CORPORATION LIMITED
OCN,OCEANA LITHIUM LIMITED
OCT,OCTAVA MINERALS LIMITED
OD6,OD6 METALS LIMITED
ODA,ORCODA LIMITED
ODE,ODESSA MINERALS LIMITED
ODY,ODYSSEY GOLD LTD
OEC,ORBITAL CORPORATION LIMITED
OEL,OTTO ENERGY LIMITED
OEQ,ORION EQUITIES LIMITED
OFX,OFX GROUP LIMITED
OIL,OPTISCAN IMAGING LIMITED
OKJ,OAKAJEE CORPORATION LIMITED
OLH,OLDFIELDS HOLDINGS LIMITED
OLI,OLIVER'S REAL FOOD LIMITED
OLL,OPENLEARNING LIMITED
OLY,OLYMPIO METALS LIMITED
OM1,OMNIA METALS GROUP LTD
OMA,OMEGA OIL & GAS LIMITED
OMG,OMG GROUP LIMITED
OMH,OM HOLDINGS LIMITED
OML,OOH!MEDIA LIMITED
OMX,ORANGE MINERALS NL
ONE,ONEVIEW HEALTHCARE PLC
OPH,OPHIR HIGH CONVICTION FUND
OPL,OPYL LIMITED
OPN,OPENN NEGOTIATION LIMITED
OPT,OPTHEA LIMITED
ORA,ORORA LIMITED
ORD,ORDELL MINERALS LIMITED
ORG,ORIGIN ENERGY LIMITED
ORI,ORICA LIMITED
ORN,ORION MINERALS LTD
ORP,ORPHEUS URANIUM LIMITED
OSLDA,ONCOSIL MEDICAL LTD
OSM,OSMOND RESOURCES LIMITED
OSX,OSTEOPORE LIMITED
OVT,OVANTI LIMITED
OXT,OREXPLORE TECHNOLOGIES LIMITED
OZM,OZAURUM RESOURCES LIMITED
OZZ,OZZ RESOURCES LIMITED
PAB,PATRYS LIMITED
PAC,PACIFIC CURRENT GROUP LIMITED
PAI,PLATINUM ASIA INVESTMENTS LIMITED
PAR,PARADIGM BIOPHARMACEUTICALS LIMITED..
PAT,PATRIOT RESOURCES LIMITED
PBH,POINTSBET HOLDINGS LIMITED
PBL,PARABELLUM RESOURCES LIMITED
PCG,PENGANA CAPITAL GROUP LIMITED
PCI,PERPETUAL CREDIT INCOME TRUST
PCK,PAINCHEK LTD
PCL,PANCONTINENTAL ENERGY NL
PCX,PENGANA GLOBAL PRIVATE CREDIT TRUST
PDI,PREDICTIVE DISCOVERY LIMITED
PDN,PALADIN ENERGY LTD
PE1,PENGANA PRIVATE EQUITY TRUST
PEB,PACIFIC EDGE LIMITED
PEC,PERPETUAL RESOURCES LIMITED
PEK,PEAK RARE EARTHS LIMITED
PEN,PENINSULA ENERGY LIMITED
PER,PERCHERON THERAPEUTICS LIMITED
PET,PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED
PEX,PEEL MINING LIMITED
PFE,PANTERA LITHIUM LIMITED
PFG,PRIME FINANCIAL GROUP LIMITED
PFM,PLATFORMO LTD
PFP,PROPEL FUNERAL PARTNERS LIMITED
PFT,PURE FOODS TASMANIA LIMITED
PGC,PARAGON CARE LIMITED
PGD,PEREGRINE GOLD LTD
PGF,PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED
PGH,PACT GROUP HOLDINGS LTD
