XVG ,$ Aedge Group                 
FVGW,CapInv 5xLongUB270630         
ZC8W,CapInv 5xShortSG270623        
A17U,CapLand Ascendas REIT         
HMN ,CapLand Ascott T              
AU8U,CapLand China T               
CY6U,CapLand India T               
C38U,CapLand IntCom T              
9CI ,CapitaLandInvest              
1D5 ,Capital World                 
NSJW,CapitalandInvMBeCW270226      
AWV ,Captii                        
C04 ,Casa                          
8C8U,Cent Accom REIT               
OU8 ,Centurion                     
5NV ,Chasen                        
C05 ,Chemical Ind                  
G92 ,China Aviation                
UIX ,China EnvRes                  
U9E ,China Everbright              
B0Z ,China Fishery                 
BEH ,China Intl                    
BHD ,China Mining                  
BCD ,China Yuanbang                
GU5 ,ChinaKundaTech                
QES ,ChinaSunsine                  
42E ,Choo Chiang                   
C33 ,Chuan Hup                     
C09 ,CityDev                       
XCVW,CityDev 5xLongSG270930        
CYQW,CityDev 5xLongUB280731        
TPWW,CityDev MBeCW260930           
GQXW,CityDev MBeCW261229           
P9D ,Civmec                        
1H3 ,Clearbridge                   
W8W ,Coliwoo Hldgs                 
STC ,Comba                         
N0Z ,Combine Will                  
WYMW,Comfort 5xLongSG280413        
C52 ,ComfortDelGro                 
BMT ,Coolan Group                  
P8A ,Cordlife                      
C41 ,Cortina                       
CIN ,Courage Inv                   
C76 ,Creative                      
TCU ,CreditBureauAsia              
D05 ,DBS                           
Z5TW,DBS 5xLongSG280223            
LQSW,DBS 5xLongSG280330            
RNUW,DBS 5xLongUB270730            
SZWW,DBS 5xShortSG261217           
FVBW,DBS 5xShortSG280725           
JHDW,DBS 5xShortUB261030           
9KBW,DBS 5xShortUB280731           
KZAW,DBS MB eCW260929              
EKSW,DBS MB eCW261230              
RQCW,DBS MB eCW270225              
IJMW,DBS MB eCW270226              
W4ZW,DBS MB eCW270930              
JFXW,DBS MB ePW260930              
KQXW,DBS MB ePW261229              
ZPNW,DBS MB ePW261230              
YAZW,DBS MB ePW270225              
V1RW,DBS MB ePW270226              
95MW,DBS MB ePW270930              
D01 ,DFIRG USD                     
532 ,DISA                          
B91W,DISA W261218                  
9X9W,DJIA 7xLongSG280616           
GTHW,DJIA 7xLongUB271122           
CZVW,DJIA 7xShortSG261029          
ZSYW,DJIA 7xShortSG280616          
Y1WW,DJIA 7xShortUB261221          
TLAW,DJIA 7xShortUB280320          
DHLU,Daiwa Hse Log Tr              
BLR ,Darco Water Tech              
CEDU,Dasin Retail Tr               
BKW ,Datapulse Tech                
96DW,Datapulse Tech W271128        
BTF ,Debao Property                
D03 ,Del Monte Pac                 
P34 ,Delfi                         
TDED,Delta TH SDR 1to1             
UZF ,Dezign Format                 
DCRU,DigiCore Reit USD             
BAI ,Digilife Tech                 
5SO ,Duty Free Intl                
YXRW,Duty Free Intl W310714        
BWCU,EC World Reit                 
8YY ,EFH Ltd                       
EGX ,EGP ENERGY CORP               
5RC ,ES                            
9A4U,ESR REIT                      
1C0 ,ETC Singapore                 
1H2 ,EVO                           
5CT ,EcoWise                       
5HG ,Edition                       
42Z ,Eindec                        
MXNU,EliteUKREIT GBP               
V8VU,EliteUKREIT GBP A             
MENU,EliteUKREIT SGD               
BIX ,Ellipsiz                      
EMI ,Emperador Inc.                
S44 ,EnGro                         
R14 ,Eneco Energy                  
BQD ,Envictus                      
L23 ,Enviro-Hub                    
5G1 ,EuroSports Gbl                
ZKX ,Ever Glory                    
5DN ,Ezra                          
F99 ,F & N                         
F10 ,FJ Benjamin                   
EHZB,FPTrea 4.49%270916XB#         
D8DU,FSL Trust                     
5TJ ,Far East                      
Q5T ,Far East HTrust               
O10 ,Far East Orchard              
BDU ,Federal Int                   
5F4 ,Figtree                       
AW9U,First Reit                    
EB5 ,First Resources               
ADN ,First Sponsor                 
RAYW,First Sponsor W290321         
91DB,FirstSponsor4.85%PCCS#        
F03 ,Food Empire                   
KYB ,FoodInnovators                
OAJ ,FortressMinerals              
FHH ,FoundationHealth              
J69U,Frasers Cpt Tr                
BUOU,Frasers L&C Tr                
TQ5 ,Frasers Property              
E28 ,Frencken                      
F13 ,Fu Yu                         
508 ,Fuji Offset                   
AWK ,Fuxing China                  
QS9 ,G Invacom                     
41T ,GCCP                          
BYS ,GDR UPL US$                   
5VP ,GDS Global                    
XJB ,GHY Culture                   
595 ,GKE                           
GSD ,GLD SG$                       
GLDW,GLD US 5xLongSG280609         
GOSW,GLD US 5xShortSG280609        
O87 ,GLD US$                       
FOIW,GLDHK 5xLongUB270618          
G20 ,GP Industries                 
S3N ,GRC                           
BLU ,GRP                           
BDX ,GSH                           
41F ,GSS Energy                    
WIAW,Galaxy 5xLongSG270827         
YCQW,Galaxy 5xLongUB270630         
OVYW,Galaxy 5xShortSG280202        
VLUW,Galaxy 5xShortUB270831        
5IG ,Gallant Venture               
GODW,Ganfeng 3xLongSG270914        
NUMW,Ganfeng 5xLongSG280316        
LLXW,Ganfeng 5xLongUB270831        
EONW,Geely 5xLongSG270907          
WMWW,Geely 5xLongUB270630          
YSHW,Geely 5xShortSG270827         
XFAW,Geely 5xShortSG280413         
UDYW,Geely 5xShortUB270630         
SIMW,Geely 5xShortUB280731         
HGMD,Geely Auto HK SDR 2to1        
HJLW,Geely MB eCW261005            
IMOW,Geely MB eCW261103            
93ZW,Geely MB ePW261005            
