576,ZHEJIANGEXPRESS
579,JNCEC
580,SUN.KING TECH
581,CHINA ORIENTAL
582,SHIN HWA WORLD
583,GWPA HOLDINGS
585,IMAGI INT'L
586,CONCH VENTURE
587,CONCH ENVIRO
588,BEIJING N STAR
590,LUK FOOK HOLD
591,C HIGHPRECISION
595,AV CONCEPT HOLD
596,INSPUR DIGI ENT
598,SINOTRANS
599,E. BON HOLDINGS
600,AXERA
601,REMT
602,JIAHUA STORES H
603,CHINA OIL & GAS
604,SHENZHEN INVEST
605,C FIN SERVICES
606,SCE CM
607,FULLSHARE
608,HIGH FASHION
609,TIANDE CHEMICAL
610,WAI KEE HOLD
611,CNE TECH CORP
612,CARMEN CENTURY
613,PLANETREE INT'L
616,ASSET CHAIN
617,PALIBURG HOLD
618,PKU RESOURCES
619,SOUTH CHINA FIN
620,DTXS SILK ROAD
621,TAUNG GOLD
622,OSHIDORI
623,GOLDENBRIDGE GP
625,SHEIN-W
626,PUBLIC FIN HOLD
627,VISION SYNERGY
628,TONGTONG AI SOC
629,YUE DA INTL
630,AMCO UNITED
631,SANY INT'L
632,CHK OIL
635,PLAYMATES
636,KLN
637,LEE KEE
638,FIBOCOM
639,SHOUGANG RES
640,INFINITY DEV
641,CHTC FONG'S INT
643,CARRY WEALTH
645,ARES ASIA
646,CHINA ENV TEC
648,SOFTMEDX
650,PRODUCTIVE TECH
653,BONJOUR HOLD
655,HK CHINESE LTD
656,FOSUN INTL
657,G-VISION INT'L
658,C TRANSMISSION
659,CTF SERVICES
660,WAI CHUN BIOTEC
661,CDAYENONFER
662,ASIA FINANCIAL
664,TONGSHIFU
666,REPT BATTERO
667,CHINA EAST EDU
668,ANKER
669,TECHTRONIC IND
670,CHINA EAST AIR
672,ZHONGAN GROUP
673,CHINA HEALTH
674,CHINA TANGSHANG
675,K & P INT'L
676,PEGASUS INT'L
677,GOLDEN RES DEV
679,ASIA TELE-NET
681,CHI PEOPLE HOLD
682,CHAODA MODERN
683,KERRY PPT
684,ALLAN INT'L
685,MEDIA CHINESE
686,BJ ENERGY INTL
687,TYSAN HOLDINGS
688,CHINA OVERSEAS
689,EPI (HOLDINGS)
690,UNI-BIO GROUP
691,SHANSHUI CEMENT
693,TAN CHONG INT'L
694,BEIJING AIRPORT
695,DONGWU CEMENT
696,TRAVELSKY TECH
697,SHOUCHENG
698,TONGDA GROUP
699,JOYSON ELEC
700,TENCENT
701,CNT GROUP
702,SINO OIL & GAS
703,FUTURE BRIGHT
704,HUSCOKE HLDGS
707,ATV HOLDINGS
708,EVERG VEHICLE
709,GIORDANO INT'L
710,BOE VARITRONIX
711,ASIA ALLIED INF
712,COMTEC SOLAR
713,WORLD HOUSEWARE
716,SINGAMAS CONT
717,EMPEROR CAPITAL
718,TAI UNITED HOLD
719,SHANDONG XINHUA
720,AUTO ITALIA
721,C FIN INT INV
722,UMP
723,RELIANCE GLO HL
725,PERENNIAL INT'L
726,DIT GROUP
727,SINOPROS CORP
728,CHINA TELECOM
730,CAPITAL IND FIN
731,C&D NEWIN
732,TRULY INT'L
733,HOPEFLUENT
736,CHINA PPT INV
737,BAY AREA DEV
738,LE SAUNDA
743,ASIA CEMENT CH
745,CN CULTURE GP
746,L & M CHEMICAL
747,SHENYANG PUBLIC
750,SFSY ENERGY
751,SKYWORTH GROUP
752,PICO FAR EAST
753,AIR CHINA
754,HOPSON DEV HOLD
755,DEVGREAT
756,SUMMI
757,SOLARGIGA
759,CEC INT'L HOLD
760,TALENT PPT GP
762,CHINA UNICOM
763,ZTE
764,ETERNITY INV
765,PERFECTECH INTL
767,ZHONG JI LS
768,UBA INVESTMENTS
769,CHINA RAREEARTH
770,SHANGHAI GROWTH
771,AUTOMATED SYS
772,CHINA LIT
775,CKLIFE SCIENCES
776,IMPERIUM TEC GP
777,NETDRAGON
778,FORTUNE REIT
780,TONGCHENGTRAVEL
784,AILIFE INTL
788,CHINA TOWER
789,ARTINI HLDG
794,COME SURE GROUP
797,7ROAD
798,CEOVU
799,IGG
800,WERIDE-W
804,PINESTONE
805,NEW GONOW RV
806,VALUE PARTNERS
807,SIICENVIRONMENT
808,PROSPERITY REIT
809,GLOBAL BIO-CHEM
810,CH CASTSON 81
811,XINHUA WINSHARE
813,SHIMAO GROUP
814,JINGKELONG
815,CHI SILVER GP
816,JINMAO SERVICES
817,CHINA JINMAO
818,HI SUN TECH
819,TIANNENG POWER
821,VC HOLDINGS
822,KA SHUI INT'L
823,LINK REIT
825,NWDS CHINA
826,TIANGONG INT'L
827,KO YO GROUP
828,DYNASTY WINES
829,SHENGUAN HLDGS
830,CSC DEVELOPMENT
831,CR ASIA
832,CENTRAL CHINA
833,ALLTRONICS
834,SHENGRONG HLDG
836,CHINA RES POWER
837,CARPENTER TAN
838,EVA HOLDINGS
839,CHINA EDU GROUP
840,TIANYE WATER
841,CASSAVA RES
842,LEOCH INT'L
844,GREATIME INTL
845,GLORIOUS PPT H
846,MINGFA GROUP
848,MAOYE INT'L
851,SHENG YUAN HLDG
852,STRONG PETRO
853,MICROPORT
854,WILLAS-ARRAY
855,CHINA WATER
856,VSTECS
857,PETROCHINA
858,EXTRAWELL PHAR
859,ZHONGCHANG INTL
860,APOLLO FMG
861,DC HOLDINGS
862,VISION VALUES
863,OSL GROUP
864,WING LEE PPT
865,JIANDE INT'L
866,CHINA QINFA
867,CMS
868,XINYI GLASS
869,PLAYMATES TOYS
871,CH DREDG ENV
873,SHIMAO SERVICES
874,BAIYUNSHAN PH
875,CONGYU INTE AGR
876,KAISA HEALTH
878,SOUNDWILL HOLD
880,SJM HOLDINGS
881,ZHONGSHENG HLDG
882,TIANJIN DEV
883,CNOOC
884,CIFI HOLD GP
887,EMPEROR WATCH&J
888,BLOCKFIN HLDG
889,DATRONIX HOLD
893,CHINAVTM MINING
894,MAN YUE TECH
895,DONGJIANG ENV
896,HANISON
897,WAI YUEN TONG
898,MULTIFIELD INTL
899,ZHONG JIA GX
900,AEON CREDIT
901,SDMC
902,HUANENG POWER
905,WALNUT CAP
907,ELEGANCEOPTICAL
909,MING YUAN CLOUD
910,CHINA SANDI
911,QIANHAI HEALTH
912,SUGA INT'L
913,HARBOUR DIGITAL
914,CONCH CEMENT
915,DAOHE GLOBAL
916,CHINA LONGYUAN
917,QUNABOX GROUP
918,MAJESTIC DRAGON
919,MODERNHEALTHTEC
921,HISENSE HA
922,ANXIANYUAN CH
923,IWS
924,KHOON GROUP
926,BESUNYEN
927,FUJIKON IND
928,KING INTL INV
929,IPE GROUP
931,CHINA HK POWER
932,SHUNTEN INTL
933,VIVA GOODS
934,SINOPEC KANTONS
936,KAISA CAPITAL
938,MAN SANG INT'L
939,CCB
941,CHINA MOBILE
943,ZHONGZHENG INTL
945,MANULIFE-S
947,MOBI DEV
948,ALPHA PRO H-10K
950,LEE'S PHARM
951,CHAOWEI POWER
952,QUAM PLUS FIN
953,SHAW BROTHERS
954,CHANGMAO BIO
956,CHINA SUNTIEN
959,CENTURY ENT INT
960,LONGFOR GROUP
966,CHINA TAIPING
968,XINYI SOLAR
969,HUA LIEN INT'L
970,NEW SPARKLEROLL
974,SKL
975,MONGOL MINING
976,CHIHO ENV
978,CHI MER LAND
979,GREEN ENERGY GP
980,LIANHUA
981,SMIC
983,SOCAM DEV
984,AEON STORES
986,DUFU LIQUOR GP
987,CH RENEW EN INV
989,CHINA CBS INTL
990,DEEP SOURCE
991,DATANG POWER
992,LENOVO GROUP
993,XINKONG INT CAP
994,CT VISION
995,ANHUIEXPRESSWAY
997,CHINLINK INTL
998,CITIC BANK
999,XIAOCAIYUAN
1000,BEIJING MEDIA
1001,HK SH ALLIANCE
1002,V.S. INT'L
1003,HUANXI MEDIA
1004,C SMARTERENERGY
1005,MATRIX HOLDINGS
1007,LONGHUI INTL
1008,LITU HOLDINGS
1009,INT'L ENT
1010,SKY BLUE 11
1011,NT PHARMA
1013,WAI CHUN GROUP
1020,CIPRUN TECH
1021,HUAYAN ROBOTICS
1022,FEIYU
1023,SITOY GROUP
1024,KUAISHOU-W
1025,KNT HOLDINGS
1026,UNIVERSAL TECH
1027,ASIA STRAT TECH
1028,C.BANNER
1029,IRC
1030,SEAZEN
1033,SINOPEC SSC
1036,VANKE OVERSEAS
1037,MAXNERVA TECH
1038,CKI HOLDINGS
1039,CHANGYOU INT GP
1044,HENGAN INT'L
1045,APT SATELLITE
1046,UNIVERSE ENT
1047,NGAI HING HONG
1049,CELESTIAL ASIA
1050,KARRIE INT'L
1051,G-RESOURCES
1052,YUEXIUTRANSPORT
1053,CHONGQING IRON
1055,CHINA SOUTH AIR
1057,ZHEJIANG SHIBAO
1058,NAMYUE HOLDINGS
1059,KANTONE HOLDING
1060,DAMAI ENT
1061,ESSEX BIO-TECH
1062,CDB INT'L INV
1063,SUNCORP TECH
1064,ZHONG HUA INT'L
1065,TIANJIN CAPITAL
1066,WEIGAO GROUP
1068,YURUN FOOD
1069,CN HEALTH TECH
1070,TCL ELECTRONICS
1071,HUADIAN POWER
1072,DONGFANG ELEC
1073,DA YU FIN
1075,CAPINFO
1079,PINE TECH
1080,SHENGLI PIPE
1081,DAJIN
1082,BDV EDU INTL
1083,TG SMART ENERGY
1084,GREEN FRESH BIO
1085,HXTL
1086,GOODBABY INTL
1087,INVESTECH HLDGS
1088,CHINA SHENHUA
1090,DA MING INT'L
1091,SOUTH MANGANESE
1093,CSPC PHARMA
1094,CHERISH SUN
1097,CTFME
1098,ROAD KING INFRA
1099,SINOPHARM
1100,MAINLAND HOLD
1101,HUARONG ENERGY
1102,ENVIRO ENERGY
1104,APAC RESOURCES
1105,SING TAO
1107,MODERN LAND
1108,TRIUMPH NEW EN
1109,CHINA RES LAND
1110,KINGWORLD
1111,HUASHI GROUP
1112,H&H INTL HLDG
1113,CK ASSET
1114,BRILLIANCE CHI
1115,5100 XIZANG
1116,HC TECH GP
1117,CH MODERN D
1118,GOLIK HOLDINGS
1119,IDREAMSKY
1120,ARTS OPTICAL
1121,GOLDENSOLAR
1122,QINGLING MOTORS
1123,CHINA-HK PHOTO
1124,COASTAL GL
1125,LAI FUNG HOLD
1126,DREAM INT'L
1127,LION ROCK GROUP
1128,WYNN MACAU
1129,WATER INDUSTRY
1130,CHINA ENV RES
1132,ORANGE SKY G H
1133,HARBIN ELECTRIC
1134,KELFRED
1137,HK TECH VENTURE
1138,COSCO SHIP ENGY
1140,HK.AI CAPITAL
1141,CMBC CAPITAL
1142,E&P GLOBAL
1145,COURAGE INV
1146,HUICHENG INTL H
1147,EDENSOFT
1148,POWER XINCHEN
1150,MILAN STATION
1152,MOMENTUM FIN
1153,JIAYUAN SER
1156,CHINANEWENERGY
1157,ZOOMLION
1159,SMART DIGI TECH
1160,GOLDSTONE CAP
1161,WATER OASIS GP
1162,LUMINA GROUP
1163,ADTIGER CORP
1164,CGN MINING
